Binary LJ intro data file

864 atoms

2 atom types

0.0 10.25985568 xlo xhi
0.0 10.25985568 ylo yhi
0.0 10.25985568 zlo zhi

Masses

1 1.0
2 1.0

Atoms # atomic

1 2 0.00000000 0.00000000 0.00000000
2 2 0.85498797 0.85498797 0.00000000
3 1 0.85498797 0.00000000 0.85498797
4 1 0.00000000 0.85498797 0.85498797
5 2 0.00000000 0.00000000 1.70997595
6 2 0.85498797 0.85498797 1.70997595
7 1 0.85498797 0.00000000 2.56496392
8 2 0.00000000 0.85498797 2.56496392
9 1 0.00000000 0.00000000 3.41995189
10 1 0.85498797 0.85498797 3.41995189
11 2 0.85498797 0.00000000 4.27493987
12 1 0.00000000 0.85498797 4.27493987
13 1 0.00000000 0.00000000 5.12992784
14 2 0.85498797 0.85498797 5.12992784
15 2 0.85498797 0.00000000 5.98491581
16 1 0.00000000 0.85498797 5.98491581
17 1 0.00000000 0.00000000 6.83990379
18 2 0.85498797 0.85498797 6.83990379
19 1 0.85498797 0.00000000 7.69489176
20 2 0.00000000 0.85498797 7.69489176
21 2 0.00000000 0.00000000 8.54987973
22 2 0.85498797 0.85498797 8.54987973
23 2 0.85498797 0.00000000 9.40486771
24 2 0.00000000 0.85498797 9.40486771
25 2 0.00000000 1.70997595 0.00000000
26 1 0.85498797 2.56496392 0.00000000
27 2 0.85498797 1.70997595 0.85498797
28 2 0.00000000 2.56496392 0.85498797
29 2 0.00000000 1.70997595 1.70997595
30 1 0.85498797 2.56496392 1.70997595
31 1 0.85498797 1.70997595 2.56496392
32 1 0.00000000 2.56496392 2.56496392
33 1 0.00000000 1.70997595 3.41995189
34 1 0.85498797 2.56496392 3.41995189
35 1 0.85498797 1.70997595 4.27493987
36 1 0.00000000 2.56496392 4.27493987
37 1 0.00000000 1.70997595 5.12992784
38 1 0.85498797 2.56496392 5.12992784
39 2 0.85498797 1.70997595 5.98491581
40 2 0.00000000 2.56496392 5.98491581
41 2 0.00000000 1.70997595 6.83990379
42 1 0.85498797 2.56496392 6.83990379
43 2 0.85498797 1.70997595 7.69489176
44 1 0.00000000 2.56496392 7.69489176
45 2 0.00000000 1.70997595 8.54987973
46 2 0.85498797 2.56496392 8.54987973
47 2 0.85498797 1.70997595 9.40486771
48 2 0.00000000 2.56496392 9.40486771
49 2 0.00000000 3.41995189 0.00000000
50 1 0.85498797 4.27493987 0.00000000
51 2 0.85498797 3.41995189 0.85498797
52 2 0.00000000 4.27493987 0.85498797
53 1 0.00000000 3.41995189 1.70997595
54 2 0.85498797 4.27493987 1.70997595
55 2 0.85498797 3.41995189 2.56496392
56 2 0.00000000 4.27493987 2.56496392
57 2 0.00000000 3.41995189 3.41995189
58 2 0.85498797 4.27493987 3.41995189
59 2 0.85498797 3.41995189 4.27493987
60 2 0.00000000 4.27493987 4.27493987
61 2 0.00000000 3.41995189 5.12992784
62 2 0.85498797 4.27493987 5.12992784
63 2 0.85498797 3.41995189 5.98491581
64 2 0.00000000 4.27493987 5.98491581
65 2 0.00000000 3.41995189 6.83990379
66 2 0.85498797 4.27493987 6.83990379
67 2 0.85498797 3.41995189 7.69489176
68 2 0.00000000 4.27493987 7.69489176
69 1 0.00000000 3.41995189 8.54987973
70 2 0.85498797 4.27493987 8.54987973
71 1 0.85498797 3.41995189 9.40486771
72 2 0.00000000 4.27493987 9.40486771
73 1 0.00000000 5.12992784 0.00000000
74 1 0.85498797 5.98491581 0.00000000
75 2 0.85498797 5.12992784 0.85498797
76 1 0.00000000 5.98491581 0.85498797
77 2 0.00000000 5.12992784 1.70997595
78 2 0.85498797 5.98491581 1.70997595
79 1 0.85498797 5.12992784 2.56496392
80 1 0.00000000 5.98491581 2.56496392
81 1 0.00000000 5.12992784 3.41995189
82 2 0.85498797 5.98491581 3.41995189
83 2 0.85498797 5.12992784 4.27493987
84 1 0.00000000 5.98491581 4.27493987
85 2 0.00000000 5.12992784 5.12992784
86 1 0.85498797 5.98491581 5.12992784
87 2 0.85498797 5.12992784 5.98491581
88 1 0.00000000 5.98491581 5.98491581
89 2 0.00000000 5.12992784 6.83990379
90 2 0.85498797 5.98491581 6.83990379
91 2 0.85498797 5.12992784 7.69489176
92 2 0.00000000 5.98491581 7.69489176
93 1 0.00000000 5.12992784 8.54987973
94 1 0.85498797 5.98491581 8.54987973
95 2 0.85498797 5.12992784 9.40486771
96 2 0.00000000 5.98491581 9.40486771
97 2 0.00000000 6.83990379 0.00000000
98 1 0.85498797 7.69489176 0.00000000
99 2 0.85498797 6.83990379 0.85498797
100 2 0.00000000 7.69489176 0.85498797
