time                 x                    y                    z                    total               
0.000000             0.000000             0.000000             0.000000             0.000000            
1.000000             6.976105             6.891396             6.797735             20.665237           
2.000000             13.915278            13.896185            13.611552            41.423016           
3.000000             20.892611            21.038340            20.470866            62.401816           
4.000000             27.890454            28.131285            27.209211            83.230950           
5.000000             34.769738            35.060362            33.915190            103.745290          
6.000000             41.764101            41.968687            40.702960            124.435748          
7.000000             48.579968            49.066337            47.528531            145.174837          
8.000000             55.574318            56.040017            54.419233            166.033567          
9.000000             62.515342            63.004635            61.390136            186.910113          
10.000000            69.265819            69.742043            68.257585            207.265448          
11.000000            76.097777            76.376950            75.010703            227.485430          
12.000000            82.700959            82.910478            81.720019            247.331457          
13.000000            89.425395            89.238947            88.349040            267.013381          
14.000000            96.054622            95.879443            94.964278            286.898342          
15.000000            102.940707           102.719573           101.685730           307.346009          
16.000000            109.952167           109.496221           108.256879           327.705266          
17.000000            116.813983           116.224030           114.897194           347.935207          
18.000000            123.963586           122.765933           121.605866           368.335386          
19.000000            131.269707           129.096886           129.106713           389.473307          
20.000000            139.479076           135.234746           136.365786           411.079607          
