# Time-averaged data for fix FMSD
# TimeStep c_CMSD[1] c_CMSD[2] c_CMSD[3] c_CMSD[4]
0 7.02425e-30 9.86847e-31 3.8301e-29 4.63121e-29
100 0.0607936 0.0644405 0.069016 0.19425
200 0.132285 0.130417 0.138134 0.400836
300 0.205303 0.192031 0.199772 0.597106
400 0.275317 0.254345 0.267468 0.79713
500 0.346372 0.311037 0.332498 0.989907
600 0.41472 0.370464 0.397166 1.18235
700 0.484165 0.445364 0.459428 1.38896
800 0.541517 0.518756 0.52965 1.58992
900 0.605284 0.576927 0.583144 1.76535
1000 0.682761 0.62705 0.641617 1.95143
1100 0.75886 0.683009 0.727165 2.16903
1200 0.836805 0.746101 0.807574 2.39048
1300 0.910335 0.812604 0.869807 2.59275
1400 0.965916 0.881329 0.935583 2.78283
1500 1.03024 0.953554 0.993657 2.97745
1600 1.07599 1.02175 1.0483 3.14604
1700 1.16364 1.0959 1.11952 3.37906
1800 1.22134 1.16347 1.1671 3.55191
1900 1.27472 1.23727 1.21662 3.72861
2000 1.32648 1.33169 1.28809 3.94625
2100 1.3908 1.3838 1.34812 4.12273
2200 1.48301 1.44795 1.42395 4.35491
2300 1.53628 1.53196 1.48926 4.5575
2400 1.57367 1.58368 1.57263 4.72998
2500 1.61424 1.66433 1.65011 4.92869
2600 1.66512 1.73187 1.68745 5.08445
2700 1.7052 1.82332 1.7736 5.30212
2800 1.75794 1.90766 1.83827 5.50387
2900 1.80804 1.98024 1.9087 5.69698
3000 1.87245 2.05937 1.96009 5.89191
3100 1.93614 2.11595 2.01729 6.06938
3200 1.99586 2.19126 2.07108 6.2582
3300 2.06969 2.27727 2.14203 6.48899
3400 2.15074 2.31225 2.21987 6.68286
3500 2.23121 2.37247 2.27418 6.87785
3600 2.27417 2.45785 2.31773 7.04975
3700 2.33735 2.54799 2.38277 7.26811
3800 2.41291 2.61567 2.45957 7.48815
3900 2.48845 2.69858 2.50856 7.69558
4000 2.54055 2.74523 2.55249 7.83827
4100 2.59813 2.80901 2.63104 8.03818
4200 2.6808 2.83791 2.69239 8.2111
4300 2.72656 2.91582 2.73288 8.37526
4400 2.79892 2.97182 2.76422 8.53497
4500 2.86581 3.01611 2.83922 8.72114
4600 2.94178 3.09255 2.92792 8.96225
4700 3.05076 3.15668 3.01058 9.21802
4800 3.12229 3.20885 3.12579 9.45692
4900 3.2014 3.30385 3.22141 9.72666
5000 3.3019 3.35901 3.32201 9.98291
5100 3.35848 3.45199 3.38597 10.1964
5200 3.42679 3.49572 3.44845 10.371
5300 3.4745 3.62608 3.50657 10.6071
5400 3.54045 3.72886 3.57415 10.8435
5500 3.61383 3.831 3.6216 11.0664
5600 3.68029 3.8624 3.67778 11.2205
5700 3.76005 3.87955 3.76629 11.4059
5800 3.83213 3.99905 3.83971 11.6709
5900 3.92421 4.05369 3.94398 11.9219
6000 4.01098 4.14767 4.04119 12.1998
6100 4.05565 4.19979 4.10055 12.356
6200 4.16168 4.25067 4.16782 12.5802
6300 4.2712 4.30942 4.2473 12.8279
6400 4.30681 4.37028 4.3496 13.0267
6500 4.33887 4.45778 4.45152 13.2482
6600 4.37995 4.54774 4.52976 13.4574
6700 4.41549 4.67658 4.60513 13.6972
6800 4.42275 4.82145 4.67949 13.9237
6900 4.46859 4.86646 4.72863 14.0637
7000 4.53835 4.96773 4.80808 14.3142
7100 4.5527 5.05326 4.84751 14.4535
7200 4.6292 5.17055 4.96689 14.7666
7300 4.69241 5.259 5.00994 14.9614
7400 4.71912 5.3192 5.01205 15.0504
7500 4.76323 5.38123 5.09432 15.2388
7600 4.82922 5.42215 5.17272 15.4241
7700 4.89067 5.47762 5.22386 15.5922
7800 4.93931 5.53062 5.32582 15.7958
7900 4.97125 5.58527 5.41783 15.9743
8000 5.02592 5.63631 5.55722 16.2194
8100 5.1079 5.60617 5.62189 16.336
8200 5.16444 5.6311 5.71102 16.5066
8300 5.2641 5.69545 5.82137 16.7809
8400 5.38395 5.76036 5.89941 17.0437
8500 5.47354 5.82022 5.98922 17.283
8600 5.54567 5.85655 6.01193 17.4142
8700 5.56356 5.92875 6.03963 17.5319
8800 5.60356 5.93481 6.11428 17.6527
8900 5.65112 6.00741 6.14692 17.8054
9000 5.72043 6.02949 6.2096 17.9595
9100 5.81509 6.11489 6.30494 18.2349
9200 5.89945 6.17685 6.3946 18.4709
9300 5.92283 6.25433 6.47743 18.6546
9400 5.94558 6.27706 6.5578 18.7804
9500 6.02733 6.34191 6.61168 18.9809
9600 6.1262 6.46002 6.65869 19.2449
9700 6.19689 6.47347 6.74277 19.4131
9800 6.25055 6.55379 6.78239 19.5867
9900 6.2856 6.60661 6.86822 19.7604
10000 6.35798 6.69155 6.94209 19.9916
10100 6.44464 6.77739 6.93311 20.1551
10200 6.52337 6.83 6.97994 20.3333
10300 6.63834 6.99253 7.04937 20.6802
10400 6.73373 7.09602 7.05598 20.8857
10500 6.88335 7.15046 7.09223 21.126
10600 6.93969 7.25693 7.1381 21.3347
10700 7.0134 7.35581 7.18668 21.5559
10800 7.05198 7.40894 7.22309 21.684
10900 7.11827 7.46864 7.31877 21.9057
11000 7.17425 7.58185 7.39885 22.1549
11100 7.279 7.63664 7.48771 22.4033
11200 7.34062 7.66032 7.55764 22.5586
11300 7.40746 7.65567 7.65584 22.719
11400 7.50002 7.72505 7.76207 22.9871
11500 7.63374 7.81272 7.80473 23.2512
11600 7.74247 7.93207 7.84501 23.5195
11700 7.86111 8.06117 7.92524 23.8475
11800 7.99696 8.13329 7.98483 24.1151
11900 8.05914 8.23071 8.06505 24.3549
12000 8.13841 8.26956 8.17033 24.5783
12100 8.25277 8.37519 8.24745 24.8754
12200 8.33816 8.43653 8.29858 25.0733
12300 8.4203 8.56458 8.47835 25.4632
12400 8.48372 8.68678 8.59513 25.7656
12500 8.57242 8.81422 8.73633 26.123
12600 8.67921 8.92811 8.79623 26.4036
12700 8.68337 8.96589 8.89607 26.5453
12800 8.6978 9.09302 9.02761 26.8184
12900 8.72773 9.16532 9.14362 27.0367
13000 8.73597 9.22793 9.20987 27.1738
13100 8.77481 9.23735 9.23351 27.2457
13200 8.85404 9.29073 9.3375 27.4823
13300 8.91799 9.34376 9.46943 27.7312
13400 8.97243 9.39011 9.51213 27.8747
