# Time-averaged data for fix FRDF
# TimeStep Number-of-rows
# Row c_CRDF[1] c_CRDF[2] c_CRDF[3]
10000 200
1 0.00625 0 0
2 0.01875 0 0
3 0.03125 0 0
4 0.04375 0 0
5 0.05625 0 0
6 0.06875 0 0
7 0.08125 0 0
8 0.09375 0 0
9 0.10625 0 0
10 0.11875 0 0
11 0.13125 0 0
12 0.14375 0 0
13 0.15625 0 0
14 0.16875 0 0
15 0.18125 0 0
16 0.19375 0 0
17 0.20625 0 0
18 0.21875 0 0
19 0.23125 0 0
20 0.24375 0 0
21 0.25625 0 0
22 0.26875 0 0
23 0.28125 0 0
24 0.29375 0 0
25 0.30625 0 0
26 0.31875 0 0
27 0.33125 0 0
28 0.34375 0 0
29 0.35625 0 0
30 0.36875 0 0
31 0.38125 0 0
32 0.39375 0 0
33 0.40625 0 0
34 0.41875 0 0
35 0.43125 0 0
36 0.44375 0 0
37 0.45625 0 0
38 0.46875 0 0
39 0.48125 0 0
40 0.49375 0 0
41 0.50625 0 0
42 0.51875 0 0
43 0.53125 0 0
44 0.54375 0 0
45 0.55625 0 0
46 0.56875 0 0
47 0.58125 0 0
48 0.59375 0 0
49 0.60625 0 0
50 0.61875 0 0
51 0.63125 0 0
52 0.64375 0 0
53 0.65625 0 0
54 0.66875 0 0
55 0.68125 0 0
56 0.69375 0 0
57 0.70625 0 0
58 0.71875 0 0
59 0.73125 0 0
60 0.74375 0 0
61 0.75625 0 0
62 0.76875 0 0
63 0.78125 0 0
64 0.79375 0 0
65 0.80625 0 0
66 0.81875 0 0
67 0.83125 0 0
68 0.84375 0 0
69 0.85625 0 0
70 0.86875 0 0
71 0.88125 0.00100114 9.76563e-05
72 0.89375 0.00194667 0.000292969
73 0.90625 0.00473336 0.00078125
74 0.91875 0.0267115 0.00361328
75 0.93125 0.0842735 0.012793
76 0.94375 0.179825 0.0329102
77 0.95625 0.38772 0.0774414
78 0.96875 0.645372 0.153516
79 0.98125 0.964143 0.270117
80 0.99375 1.37148 0.440234
81 1.00625 1.63248 0.647852
82 1.01875 2.04515 0.914453
83 1.03125 2.23786 1.21338
84 1.04375 2.39725 1.54141
85 1.05625 2.53319 1.89639
86 1.06875 2.59749 2.26904
87 1.08125 2.6628 2.66006
88 1.09375 2.56134 3.04492
89 1.10625 2.54508 3.43613
90 1.11875 2.43883 3.81953
91 1.13125 2.39738 4.20488
92 1.14375 2.23532 4.57217
93 1.15625 2.1035 4.92539
94 1.16875 1.97622 5.26445
95 1.18125 1.90118 5.59766
96 1.19375 1.76773 5.91406
97 1.20625 1.64152 6.21406
98 1.21875 1.59074 6.51084
99 1.23125 1.50168 6.79678
100 1.24375 1.36911 7.06279
101 1.25625 1.35284 7.33096
102 1.26875 1.23744 7.58115
103 1.28125 1.21105 7.83086
104 1.29375 1.10647 8.06348
105 1.30625 1.07765 8.29443
106 1.31875 1.00993 8.51504
107 1.33125 0.982277 8.73369
108 1.34375 0.928779 8.94434
109 1.35625 0.872428 9.1459
110 1.36875 0.881466 9.35332
111 1.38125 0.837465 9.554
112 1.39375 0.832116 9.75703
113 1.40625 0.789081 9.95303
114 1.41875 0.731976 10.1381
115 1.43125 0.751888 10.3315
116 1.44375 0.741163 10.5256
117 1.45625 0.713828 10.7157
118 1.46875 0.678303 10.8995
119 1.48125 0.697378 11.0917
120 1.49375 0.681225 11.2826
121 1.50625 0.654544 11.4691
122 1.51875 0.687634 11.6684
123 1.53125 0.656558 11.8617
124 1.54375 0.649231 12.0561
125 1.55625 0.670625 12.2601
126 1.56875 0.659664 12.464
127 1.58125 0.646788 12.6671
128 1.59375 0.657803 12.877
129 1.60625 0.659659 13.0907
130 1.61875 0.680072 13.3146
131 1.63125 0.693649 13.5464
132 1.64375 0.649472 13.7668
133 1.65625 0.70206 14.0087
134 1.66875 0.729274 14.2638
135 1.68125 0.733874 14.5243
136 1.69375 0.758044 14.7975
137 1.70625 0.746977 15.0706
138 1.71875 0.747732 15.348
139 1.73125 0.772253 15.6388
140 1.74375 0.790371 15.9406
141 1.75625 0.831844 16.2629
142 1.76875 0.821867 16.5858
143 1.78125 0.860853 16.9289
144 1.79375 0.890701 17.2889
145 1.80625 0.891761 17.6543
146 1.81875 0.934076 18.0424
147 1.83125 0.932497 18.4352
148 1.84375 0.985309 18.8559
149 1.85625 0.990586 19.2846
150 1.86875 1.03237 19.7374
151 1.88125 1.0277 20.1942
152 1.89375 1.05039 20.6674
153 1.90625 1.08801 21.164
154 1.91875 1.08866 21.6674
155 1.93125 1.09567 22.1807
156 1.94375 1.11661 22.7105
157 1.95625 1.10807 23.2432
158 1.96875 1.15924 23.8075
159 1.98125 1.15357 24.3763
160 1.99375 1.19431 24.9726
161 2.00625 1.1955 25.577
162 2.01875 1.19887 26.1906
163 2.03125 1.21299 26.8192
164 2.04375 1.20676 27.4523
165 2.05625 1.21696 28.0986
166 2.06875 1.21574 28.7521
167 2.08125 1.24695 29.4306
168 2.09375 1.20763 30.0955
169 2.10625 1.22436 30.7777
170 2.11875 1.22676 31.4694
171 2.13125 1.19957 32.1538
172 2.14375 1.17463 32.8318
173 2.15625 1.1761 33.5187
174 2.16875 1.1725 34.2113
175 2.18125 1.16923 34.9101
176 2.19375 1.14286 35.6009
177 2.20625 1.16477 36.313
178 2.21875 1.09814 36.992
179 2.23125 1.08665 37.6715
180 2.24375 1.11411 38.376
181 2.25625 1.08164 39.0676
182 2.26875 1.06522 39.7563
183 2.28125 1.05074 40.4431
184 2.29375 1.0473 41.1352
185 2.30625 1.00937 41.8095
186 2.31875 1.01573 42.4954
187 2.33125 0.991847 43.1725
188 2.34375 0.98724 43.8536
189 2.35625 0.959288 44.5226
190 2.36875 0.948775 45.1912
191 2.38125 0.941994 45.8621
192 2.39375 0.94168 46.5398
193 2.40625 0.926147 47.2134
194 2.41875 0.909822 47.8819
195 2.43125 0.885101 48.5391
196 2.44375 0.904191 49.2173
197 2.45625 0.895784 49.8961
198 2.46875 0.894135 50.5806
199 2.48125 0.882244 51.2628
200 2.49375 0.883174 51.9526
20000 200
1 0.00625 0 0
2 0.01875 0 0
3 0.03125 0 0
4 0.04375 0 0
5 0.05625 0 0
6 0.06875 0 0
7 0.08125 0 0
8 0.09375 0 0
9 0.10625 0 0
10 0.11875 0 0
11 0.13125 0 0
12 0.14375 0 0
13 0.15625 0 0
14 0.16875 0 0
15 0.18125 0 0
16 0.19375 0 0
17 0.20625 0 0
18 0.21875 0 0
19 0.23125 0 0
20 0.24375 0 0
21 0.25625 0 0
22 0.26875 0 0
23 0.28125 0 0
24 0.29375 0 0
25 0.30625 0 0
26 0.31875 0 0
27 0.33125 0 0
28 0.34375 0 0
29 0.35625 0 0
30 0.36875 0 0
31 0.38125 0 0
32 0.39375 0 0
33 0.40625 0 0
34 0.41875 0 0
35 0.43125 0 0
36 0.44375 0 0
37 0.45625 0 0
38 0.46875 0 0
39 0.48125 0 0
40 0.49375 0 0
41 0.50625 0 0
42 0.51875 0 0
43 0.53125 0 0
44 0.54375 0 0
45 0.55625 0 0
46 0.56875 0 0
47 0.58125 0 0
48 0.59375 0 0
49 0.60625 0 0
50 0.61875 0 0
51 0.63125 0 0
52 0.64375 0 0
53 0.65625 0 0
54 0.66875 0 0
55 0.68125 0 0
56 0.69375 0 0
57 0.70625 0 0
58 0.71875 0 0
59 0.73125 0 0
60 0.74375 0 0
61 0.75625 0 0
62 0.76875 0 0
63 0.78125 0 0
64 0.79375 0 0
65 0.80625 0 0
66 0.81875 0 0
67 0.83125 0 0
68 0.84375 0 0
69 0.85625 0 0
70 0.86875 0 0
71 0.88125 0.00100114 9.76563e-05
72 0.89375 0 9.76563e-05
73 0.90625 0.00852004 0.000976562
74 0.91875 0.0340802 0.00458984
75 0.93125 0.0905492 0.0144531
76 0.94375 0.187681 0.0354492
77 0.95625 0.340105 0.0745117
78 0.96875 0.653657 0.151562
79 0.98125 0.976255 0.269629
80 0.99375 1.28094 0.428516
81 1.00625 1.68546 0.642871
82 1.01875 2.02642 0.907031
83 1.03125 2.3095 1.21553
84 1.04375 2.47933 1.55479
85 1.05625 2.5548 1.91279
86 1.06875 2.64037 2.2916
87 1.08125 2.58367 2.671
88 1.09375 2.59319 3.06064
89 1.10625 2.56923 3.45557
90 1.11875 2.42454 3.83672
91 1.13125 2.34331 4.21338
92 1.14375 2.26919 4.58623
93 1.15625 2.13025 4.94395
94 1.16875 1.99955 5.28701
95 1.18125 1.86106 5.61318
96 1.19375 1.76937 5.92988
97 1.20625 1.66877 6.23486
98 1.21875 1.56771 6.52734
99 1.23125 1.47911 6.80898
100 1.24375 1.41184 7.0833
