# Chunk-averaged data for fix FRHO and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 513 4199.999999999999
  1 0.05 0.186 0.00636111
  2 0.15 0.222 0.00759229
  3 0.25 0.2 0.0068399
  4 0.35 0.236 0.00807109
  5 0.45 0.194 0.00663471
  6 0.55 0.2 0.0068399
  7 0.65 0.21 0.0071819
  8 0.75 0.222 0.00759229
  9 0.85 0.23 0.00786589
  10 0.95 0.234 0.00800269
  11 1.05 0.242 0.00827628
  12 1.15 0.202 0.0069083
  13 1.25 0.258 0.00882348
  14 1.35 0.21 0.0071819
  15 1.45 0.192 0.00656631
  16 1.55 0.252 0.00861828
  17 1.65 0.222 0.00759229
  18 1.75 0.216 0.0073871
  19 1.85 0.216 0.0073871
  20 1.95 0.216 0.0073871
  21 2.05 0.244 0.00834468
  22 2.15 0.228 0.00779749
  23 2.25 0.24 0.00820788
  24 2.35 0.238 0.00813949
  25 2.45 0.202 0.0069083
  26 2.55 0.22 0.00752389
  27 2.65 0.246 0.00841308
  28 2.75 0.184 0.00629271
  29 2.85 0.232 0.00793429
  30 2.95 0.25 0.00854988
  31 3.05 0.216 0.0073871
  32 3.15 0.212 0.0072503
  33 3.25 0.224 0.00766069
  34 3.35 0.212 0.0072503
  35 3.45 0.196 0.00670311
  36 3.55 0.196 0.00670311
  37 3.65 0.256 0.00875508
  38 3.75 0.206 0.0070451
  39 3.85 0.2 0.0068399
  40 3.95 0.224 0.00766069
  41 4.05 0.198 0.0067715
  42 4.15 0.196 0.00670311
  43 4.25 0.214 0.0073187
  44 4.35 0.198 0.0067715
  45 4.45 0.194 0.00663471
  46 4.55 0.234 0.00800269
  47 4.65 0.222 0.00759229
  48 4.75 0.202 0.0069083
  49 4.85 0.214 0.0073187
  50 4.95 0.242 0.00827628
  51 5.05 0.216 0.0073871
  52 5.15 0.19 0.00649791
  53 5.25 0.246 0.00841308
  54 5.35 0.234 0.00800269
  55 5.45 0.216 0.0073871
  56 5.55 0.252 0.00861828
  57 5.65 0.23 0.00786589
  58 5.75 0.22 0.00752389
  59 5.85 0.24 0.00820788
  60 5.95 0.256 0.00875508
  61 6.05 0.262 0.00896027
  62 6.15 0.196 0.00670311
  63 6.25 0.246 0.00841308
  64 6.35 0.214 0.0073187
  65 6.45 0.238 0.00813949
  66 6.55 0.196 0.00670311
  67 6.65 0.214 0.0073187
  68 6.75 0.218 0.0074555
  69 6.85 0.248 0.00848148
  70 6.95 0.188 0.00642951
  71 7.05 0.28 0.00957587
  72 7.15 0.276 0.00943907
  73 7.25 0.262 0.00896027
  74 7.35 0.218 0.0074555
  75 7.45 0.248 0.00848148
  76 7.55 0.304 0.0103967
  77 7.65 0.22 0.00752389
  78 7.75 0.268 0.00916547
  79 7.85 0.198 0.0067715
  80 7.95 0.238 0.00813949
  81 8.05 0.196 0.00670311
  82 8.15 0.208 0.0071135
  83 8.25 0.21 0.0071819
  84 8.35 0.248 0.00848148
  85 8.45 0.222 0.00759229
  86 8.55 0.21 0.0071819
  87 8.65 0.204 0.0069767
  88 8.75 0.226 0.00772909
  89 8.85 0.204 0.0069767
  90 8.95 0.198 0.0067715
  91 9.05 0.238 0.00813949
  92 9.15 0.18 0.00615591
  93 9.25 0.192 0.00656631
  94 9.35 0.21 0.0071819
  95 9.45 0.184 0.00629271
  96 9.55 0.182 0.00622431
  97 9.65 0.204 0.0069767
  98 9.75 0.204 0.0069767
  99 9.85 0.244 0.00834468
  100 9.95 0.208 0.0071135
  101 10.05 0.234 0.00800269
  102 10.15 0.176 0.00601912
  103 10.25 0.258 0.00882348
  104 10.35 0.196 0.00670311
  105 10.45 0.224 0.00766069
  106 10.55 0.246 0.00841308
  107 10.65 0.2 0.0068399
  108 10.75 0.202 0.0069083
  109 10.85 0.22 0.00752389
  110 10.95 0.2 0.0068399
  111 11.05 0.226 0.00772909
  112 11.15 0.232 0.00793429
  113 11.25 0.216 0.0073871
  114 11.35 0.24 0.00820788
  115 11.45 0.264 0.00902867
  116 11.55 0.284 0.00971266
  117 11.65 0.282 0.00964426
  118 11.75 0.248 0.00848148
  119 11.85 0.254 0.00868668
  120 11.95 0.258 0.00882348
  121 12.05 0.216 0.0073871
  122 12.15 0.228 0.00779749
  123 12.25 0.238 0.00813949
  124 12.35 0.248 0.00848148
  125 12.45 0.202 0.0069083
  126 12.55 0.242 0.00827628
  127 12.65 0.246 0.00841308
  128 12.75 0.24 0.00820788
  129 12.85 0.252 0.00861828
  130 12.95 0.252 0.00861828
  131 13.05 0.21 0.0071819
  132 13.15 0.226 0.00772909
  133 13.25 0.194 0.00663471
  134 13.35 0.218 0.0074555
  135 13.45 0.23 0.00786589
  136 13.55 0.198 0.0067715
  137 13.65 0.248 0.00848148
  138 13.75 0.226 0.00772909
  139 13.85 0.252 0.00861828
  140 13.95 0.238 0.00813949
  141 14.05 0.24 0.00820788
  142 14.15 0.284 0.00971266
  143 14.25 0.232 0.00793429
  144 14.35 0.252 0.00861828
  145 14.45 0.302 0.0103283
  146 14.55 0.306 0.0104651
  147 14.65 0.28 0.00957587
  148 14.75 0.308 0.0105335
  149 14.85 0.364 0.0124486
  150 14.95 0.418 0.0142954
  151 15.05 0.5 0.0170998
  152 15.15 0.58 0.0198357
  153 15.25 0.712 0.0243501
  154 15.35 0.918 0.0313952
  155 15.45 1.002 0.0342679
  156 15.55 1.248 0.042681
  157 15.65 1.552 0.0530777
  158 15.75 2.002 0.0684674
  159 15.85 2.486 0.08502
  160 15.95 3.004 0.102735
  161 16.05 3.61 0.12346
  162 16.15 4.408 0.150751
  163 16.25 5.228 0.178795
  164 16.35 6.384 0.21833
  165 16.45 7.178 0.245484
  166 16.55 8.138 0.278316
  167 16.65 9.208 0.314909
  168 16.75 10.344 0.35376
  169 16.85 11.624 0.397535
  170 16.95 12.77 0.436728
  171 17.05 13.782 0.471338
  172 17.15 14.658 0.501297
  173 17.25 16.142 0.552049
  174 17.35 16.912 0.578382
  175 17.45 17.652 0.60369
  176 17.55 18.196 0.622294
  177 17.65 18.986 0.649312
  178 17.75 19.522 0.667643
  179 17.85 19.796 0.677014
  180 17.95 20.308 0.694524
  181 18.05 20.908 0.715044
  182 18.15 21.346 0.730023
  183 18.25 21.554 0.737136
  184 18.35 21.98 0.751705
  185 18.45 22.548 0.771131
  186 18.55 22.002 0.752458
  187 18.65 22.068 0.754715
  188 18.75 22.328 0.763607
  189 18.85 22.244 0.760734
  190 18.95 22.588 0.772499
  191 19.05 22.484 0.768942
  192 19.15 22.638 0.774209
  193 19.25 22.994 0.786384
  194 19.35 22.874 0.78228
  195 19.45 22.722 0.777081
  196 19.55 22.96 0.785221
  197 19.65 23.168 0.792334
  198 19.75 22.376 0.765248
  199 19.85 22.96 0.785221
  200 19.95 23.09 0.789667
  201 20.05 22.936 0.7844
  202 20.15 22.708 0.776603
  203 20.25 23.094 0.789804
  204 20.35 23.1 0.790009
  205 20.45 22.972 0.785631
  206 20.55 22.83 0.780775
  207 20.65 23.384 0.799722
  208 20.75 22.868 0.782075
  209 20.85 22.886 0.78269
  210 20.95 22.912 0.783579
  211 21.05 23.05 0.788299
  212 21.15 23.052 0.788367
  213 21.25 22.808 0.780023
  214 21.35 22.942 0.784605
  215 21.45 23.148 0.79165
  216 21.55 23.102 0.790077
  217 21.65 23.052 0.788367
  218 21.75 22.77 0.778723
  219 21.85 22.95 0.784879
  220 21.95 22.676 0.775508
  221 22.05 23.118 0.790624
  222 22.15 22.892 0.782895
  223 22.25 22.858 0.781733
  224 22.35 23.35 0.798559
  225 22.45 22.862 0.781869
  226 22.55 22.974 0.7857
  227 22.65 23.014 0.787068
  228 22.75 22.94 0.784537
  229 22.85 22.824 0.78057
  230 22.95 23.182 0.792813
  231 23.05 22.51 0.769831
  232 23.15 22.726 0.777218
  233 23.25 23.392 0.799995
  234 23.35 23.236 0.79466
  235 23.45 23.19 0.793087
  236 23.55 23.02 0.787273
  237 23.65 22.986 0.78611
  238 23.75 22.822 0.780501
  239 23.85 23.042 0.788025
  240 23.95 22.98 0.785905
  241 24.05 22.714 0.776808
  242 24.15 23.122 0.790761
  243 24.25 23.05 0.788299
  244 24.35 22.932 0.784263
  245 24.45 23.256 0.795344
  246 24.55 22.834 0.780912
  247 24.65 23.078 0.789256
  248 24.75 23.15 0.791719
  249 24.85 23.316 0.797396
  250 24.95 22.75 0.778039
  251 25.05 23.124 0.79083
  252 25.15 23.12 0.790693
  253 25.25 22.88 0.782485
  254 25.35 23 0.786589
  255 25.45 22.832 0.780843
  256 25.55 23.102 0.790077
  257 25.65 22.716 0.776876
  258 25.75 23.258 0.795412
  259 25.85 23.188 0.793018
  260 25.95 23.47 0.802663
  261 26.05 23.044 0.788094
  262 26.15 22.812 0.780159
  263 26.25 22.984 0.786042
  264 26.35 22.888 0.782759
  265 26.45 23.032 0.787683
  266 26.55 22.768 0.778655
  267 26.65 23.468 0.802594
  268 26.75 23.19 0.793087
  269 26.85 22.87 0.782143
  270 26.95 23.366 0.799106
  271 27.05 23.25 0.795139
  272 27.15 22.748 0.777971
  273 27.25 22.918 0.783785
  274 27.35 22.614 0.773388
  275 27.45 23.058 0.788573
  276 27.55 23.46 0.802321
  277 27.65 23.12 0.790693
  278 27.75 23.288 0.796438
  279 27.85 22.812 0.780159
  280 27.95 22.914 0.783648
  281 28.05 23.264 0.795618
  282 28.15 23.102 0.790077
  283 28.25 22.662 0.775029
  284 28.35 22.728 0.777287
  285 28.45 22.89 0.782827
  286 28.55 23.2 0.793429
  287 28.65 23.466 0.802526
  288 28.75 23.37 0.799243
  289 28.85 23.156 0.791924
  290 28.95 23.052 0.788367
  291 29.05 22.762 0.778449
  292 29.15 23.02 0.787273
  293 29.25 22.842 0.781185
  294 29.35 22.982 0.785973
  295 29.45 22.97 0.785563
  296 29.55 23.296 0.796712
  297 29.65 23.04 0.787957
  298 29.75 23.014 0.787068
  299 29.85 23.528 0.804646
  300 29.95 22.798 0.779681
  301 30.05 22.818 0.780365
  302 30.15 23.104 0.790146
  303 30.25 22.784 0.779202
  304 30.35 22.926 0.784058
  305 30.45 23.09 0.789667
  306 30.55 22.868 0.782075
  307 30.65 23.36 0.798901
  308 30.75 23.144 0.791514
  309 30.85 23.15 0.791719
  310 30.95 22.984 0.786042
  311 31.05 22.95 0.784879
  312 31.15 23.11 0.790351
  313 31.25 23.006 0.786794
  314 31.35 22.73 0.777355
  315 31.45 22.656 0.774824
  316 31.55 23.158 0.791992
  317 31.65 23.036 0.78782
  318 31.75 22.998 0.786521
  319 31.85 23.04 0.787957
  320 31.95 22.712 0.776739
  321 32.05 22.992 0.786315
  322 32.15 23.006 0.786794
  323 32.25 22.728 0.777287
  324 32.35 22.854 0.781596
  325 32.45 22.67 0.775303
  326 32.55 22.554 0.771336
  327 32.65 22.934 0.784332
  328 32.75 22.582 0.772294
  329 32.85 22.358 0.764633
  330 32.95 22.426 0.766958
  331 33.05 22.668 0.775235
  332 33.15 21.86 0.747601
  333 33.25 22.332 0.763744
  334 33.35 21.564 0.737478
  335 33.45 21.48 0.734606
  336 33.55 21.452 0.733648
  337 33.65 21.424 0.73269
  338 33.75 20.216 0.691377
  339 33.85 20.148 0.689052
  340 33.95 19.566 0.669148
  341 34.05 19.102 0.653279
  342 34.15 18.498 0.632623
  343 34.25 18.046 0.617165
  344 34.35 17.17 0.587206
  345 34.45 15.88 0.543088
  346 34.55 15.328 0.52421
  347 34.65 14 0.478793
  348 34.75 12.984 0.444047
  349 34.85 11.68 0.39945
  350 34.95 10.458 0.357659
  351 35.05 9.552 0.326674
  352 35.15 8.49 0.290354
  353 35.25 7.55 0.258206
  354 35.35 6.276 0.214636
  355 35.45 5.468 0.187003
  356 35.55 4.732 0.161832
  357 35.65 3.866 0.132215
  358 35.75 3.308 0.113132
  359 35.85 2.742 0.0937751
  360 35.95 2.254 0.0770857
  361 36.05 1.836 0.0627903
  362 36.15 1.55 0.0530093
  363 36.25 1.392 0.0476057
  364 36.35 1.132 0.0387139
  365 36.45 0.9 0.0307796
  366 36.55 0.762 0.02606
  367 36.65 0.618 0.0211353
  368 36.75 0.548 0.0187413
  369 36.85 0.514 0.0175786
  370 36.95 0.468 0.0160054
  371 37.05 0.404 0.0138166
  372 37.15 0.344 0.0117646
  373 37.25 0.306 0.0104651
  374 37.35 0.262 0.00896027
  375 37.45 0.26 0.00889187
  376 37.55 0.28 0.00957587
  377 37.65 0.274 0.00937067
  378 37.75 0.244 0.00834468
  379 37.85 0.208 0.0071135
  380 37.95 0.192 0.00656631
  381 38.05 0.27 0.00923387
  382 38.15 0.234 0.00800269
  383 38.25 0.192 0.00656631
  384 38.35 0.216 0.0073871
  385 38.45 0.196 0.00670311
  386 38.55 0.208 0.0071135
  387 38.65 0.204 0.0069767
  388 38.75 0.21 0.0071819
  389 38.85 0.192 0.00656631
  390 38.95 0.21 0.0071819
  391 39.05 0.206 0.0070451
  392 39.15 0.2 0.0068399
  393 39.25 0.21 0.0071819
  394 39.35 0.186 0.00636111
  395 39.45 0.214 0.0073187
  396 39.55 0.218 0.0074555
  397 39.65 0.196 0.00670311
  398 39.75 0.216 0.0073871
  399 39.85 0.222 0.00759229
  400 39.95 0.236 0.00807109
  401 40.05 0.184 0.00629271
  402 40.15 0.244 0.00834468
  403 40.25 0.224 0.00766069
  404 40.35 0.214 0.0073187
  405 40.45 0.194 0.00663471
  406 40.55 0.206 0.0070451
  407 40.65 0.226 0.00772909
  408 40.75 0.2 0.0068399
  409 40.85 0.25 0.00854988
  410 40.95 0.242 0.00827628
  411 41.05 0.22 0.00752389
  412 41.15 0.194 0.00663471
  413 41.25 0.186 0.00636111
  414 41.35 0.194 0.00663471
  415 41.45 0.196 0.00670311
  416 41.55 0.156 0.00533512
  417 41.65 0.198 0.0067715
  418 41.75 0.206 0.0070451
  419 41.85 0.194 0.00663471
  420 41.95 0.164 0.00560872
  421 42.05 0.17 0.00581392
  422 42.15 0.202 0.0069083
  423 42.25 0.19 0.00649791
  424 42.35 0.216 0.0073871
  425 42.45 0.224 0.00766069
  426 42.55 0.166 0.00567712
  427 42.65 0.208 0.0071135
  428 42.75 0.194 0.00663471
  429 42.85 0.228 0.00779749
  430 42.95 0.188 0.00642951
  431 43.05 0.194 0.00663471
  432 43.15 0.214 0.0073187
  433 43.25 0.212 0.0072503
  434 43.35 0.22 0.00752389
  435 43.45 0.192 0.00656631
  436 43.55 0.18 0.00615591
  437 43.65 0.172 0.00588232
  438 43.75 0.2 0.0068399
  439 43.85 0.204 0.0069767
  440 43.95 0.198 0.0067715
  441 44.05 0.176 0.00601912
  442 44.15 0.206 0.0070451
  443 44.25 0.16 0.00547192
  444 44.35 0.168 0.00574552
  445 44.45 0.182 0.00622431
  446 44.55 0.194 0.00663471
  447 44.65 0.214 0.0073187
  448 44.75 0.212 0.0072503
  449 44.85 0.2 0.0068399
  450 44.95 0.184 0.00629271
  451 45.05 0.218 0.0074555
  452 45.15 0.208 0.0071135
  453 45.25 0.23 0.00786589
  454 45.35 0.232 0.00793429
  455 45.45 0.248 0.00848148
  456 45.55 0.232 0.00793429
  457 45.65 0.216 0.0073871
  458 45.75 0.244 0.00834468
  459 45.85 0.276 0.00943907
  460 45.95 0.216 0.0073871
  461 46.05 0.196 0.00670311
  462 46.15 0.22 0.00752389
  463 46.25 0.202 0.0069083
