# Time-averaged data for fix FGAM
# TimeStep v_pxx v_pyy v_pzz v_gamma
110000 -0.0174051 -0.0196063 -0.00170536 0.430922
120000 -0.0194267 -0.020176 0.00567305 0.653409
130000 -0.0161179 -0.0218546 0.00359137 0.579107
140000 -0.0168943 -0.0182833 0.0066 0.620434
150000 -0.0197933 -0.020697 0.0018855 0.567643
160000 -0.0145315 -0.0150358 -0.000489689 0.366635
170000 -0.0170842 -0.0167254 0.00537028 0.571348
180000 -0.0189401 -0.013273 0.00642443 0.577911
190000 -0.013917 -0.0221279 0.00501791 0.590977
200000 -0.0193722 -0.0156484 0.003143 0.52975
