# time  <MSD_cm>_multi_origin  counts
0.000000000000000000e+00 0.000000000000000000e+00 1.281280000000000000e+05
2.000000000000000000e+00 1.498868213567696728e-01 1.280000000000000000e+05
4.000000000000000000e+00 2.998170519663276301e-01 1.278720000000000000e+05
6.000000000000000000e+00 4.497020177822147469e-01 1.277440000000000000e+05
8.000000000000000000e+00 6.005242974081731466e-01 1.276160000000000000e+05
1.000000000000000000e+01 7.513800344087698813e-01 1.274880000000000000e+05
1.200000000000000000e+01 9.014791757246966020e-01 1.273600000000000000e+05
1.400000000000000000e+01 1.051077267600891485e+00 1.272320000000000000e+05
1.600000000000000000e+01 1.200471660867238555e+00 1.271040000000000000e+05
1.800000000000000000e+01 1.349815689174240996e+00 1.269760000000000000e+05
2.000000000000000000e+01 1.499457320053940945e+00 1.268480000000000000e+05
2.200000000000000000e+01 1.649108604176286574e+00 1.267200000000000000e+05
2.400000000000000000e+01 1.799398132593827748e+00 1.265920000000000000e+05
2.600000000000000000e+01 1.949758707736210406e+00 1.264640000000000000e+05
2.800000000000000000e+01 2.100519324618789430e+00 1.263360000000000000e+05
3.000000000000000000e+01 2.250551555302259032e+00 1.262080000000000000e+05
3.200000000000000000e+01 2.400025823964029303e+00 1.260800000000000000e+05
3.400000000000000000e+01 2.549541281114364288e+00 1.259520000000000000e+05
3.600000000000000000e+01 2.699149844240850360e+00 1.258240000000000000e+05
3.800000000000000000e+01 2.849600819127741769e+00 1.256960000000000000e+05
4.000000000000000000e+01 3.000953631567359281e+00 1.255680000000000000e+05
4.200000000000000000e+01 3.152672082305616019e+00 1.254400000000000000e+05
4.400000000000000000e+01 3.303893165741774052e+00 1.253120000000000000e+05
4.600000000000000000e+01 3.455051783769467200e+00 1.251840000000000000e+05
4.800000000000000000e+01 3.605778661009952035e+00 1.250560000000000000e+05
5.000000000000000000e+01 3.756726079199678825e+00 1.249280000000000000e+05
5.200000000000000000e+01 3.907579303797636960e+00 1.248000000000000000e+05
5.400000000000000000e+01 4.058037942701867351e+00 1.246720000000000000e+05
5.600000000000000000e+01 4.208254124998103585e+00 1.245440000000000000e+05
5.800000000000000000e+01 4.358995810805557980e+00 1.244160000000000000e+05
6.000000000000000000e+01 4.509328950348945320e+00 1.242880000000000000e+05
6.200000000000000000e+01 4.659584665851393304e+00 1.241600000000000000e+05
6.400000000000000000e+01 4.809559873754931658e+00 1.240320000000000000e+05
6.600000000000000000e+01 4.958756018779244990e+00 1.239040000000000000e+05
6.800000000000000000e+01 5.107826390952672213e+00 1.237760000000000000e+05
7.000000000000000000e+01 5.257476340737035514e+00 1.236480000000000000e+05
7.200000000000000000e+01 5.406255573794330971e+00 1.235200000000000000e+05
7.400000000000000000e+01 5.555105054314149804e+00 1.233920000000000000e+05
7.600000000000000000e+01 5.703866926454461250e+00 1.232640000000000000e+05
7.800000000000000000e+01 5.852330512745902880e+00 1.231360000000000000e+05
8.000000000000000000e+01 6.000894786244483470e+00 1.230080000000000000e+05
8.200000000000000000e+01 6.150070326277400135e+00 1.228800000000000000e+05
8.400000000000000000e+01 6.298481728035566718e+00 1.227520000000000000e+05
8.600000000000000000e+01 6.447565331216534190e+00 1.226240000000000000e+05
8.800000000000000000e+01 6.597016769768938360e+00 1.224960000000000000e+05
9.000000000000000000e+01 6.746442809990651490e+00 1.223680000000000000e+05
9.200000000000000000e+01 6.896839934209940459e+00 1.222400000000000000e+05
9.400000000000000000e+01 7.046758676142623301e+00 1.221120000000000000e+05
9.600000000000000000e+01 7.196168185888094371e+00 1.219840000000000000e+05
9.800000000000000000e+01 7.345369244819531573e+00 1.218560000000000000e+05
1.000000000000000000e+02 7.494963881172658660e+00 1.217280000000000000e+05
1.020000000000000000e+02 7.645720313102865262e+00 1.216000000000000000e+05
1.040000000000000000e+02 7.795470149319960740e+00 1.214720000000000000e+05
1.060000000000000000e+02 7.944301657943190875e+00 1.213440000000000000e+05
1.080000000000000000e+02 8.093262439616898618e+00 1.212160000000000000e+05
1.100000000000000000e+02 8.242449759171543988e+00 1.210880000000000000e+05
1.120000000000000000e+02 8.391552463201847445e+00 1.209600000000000000e+05
1.140000000000000000e+02 8.540192887596269600e+00 1.208320000000000000e+05
1.160000000000000000e+02 8.689394065919751498e+00 1.207040000000000000e+05
1.180000000000000000e+02 8.838259340121354057e+00 1.205760000000000000e+05
1.200000000000000000e+02 8.987003990484545568e+00 1.204480000000000000e+05
1.220000000000000000e+02 9.135892930958473102e+00 1.203200000000000000e+05
1.240000000000000000e+02 9.284830370194899984e+00 1.201920000000000000e+05
1.260000000000000000e+02 9.433699918650463090e+00 1.200640000000000000e+05
1.280000000000000000e+02 9.583633530662293509e+00 1.199360000000000000e+05
1.300000000000000000e+02 9.733769222092730544e+00 1.198080000000000000e+05
1.320000000000000000e+02 9.883645285248375600e+00 1.196800000000000000e+05
1.340000000000000000e+02 1.003315974768594820e+01 1.195520000000000000e+05
1.360000000000000000e+02 1.018369999733205233e+01 1.194240000000000000e+05
1.380000000000000000e+02 1.033418271059194993e+01 1.192960000000000000e+05
1.400000000000000000e+02 1.048421956692803292e+01 1.191680000000000000e+05
1.420000000000000000e+02 1.063407856465377677e+01 1.190400000000000000e+05
1.440000000000000000e+02 1.078347184347095400e+01 1.189120000000000000e+05
1.460000000000000000e+02 1.093318183418010214e+01 1.187840000000000000e+05
1.480000000000000000e+02 1.108265679837016293e+01 1.186560000000000000e+05
1.500000000000000000e+02 1.123203197964812006e+01 1.185280000000000000e+05
1.520000000000000000e+02 1.138246775181451653e+01 1.184000000000000000e+05
1.540000000000000000e+02 1.153349182688378249e+01 1.182720000000000000e+05
1.560000000000000000e+02 1.168488013159945993e+01 1.181440000000000000e+05
1.580000000000000000e+02 1.183716676537295776e+01 1.180160000000000000e+05
1.600000000000000000e+02 1.198896177312002465e+01 1.178880000000000000e+05
1.620000000000000000e+02 1.214023853235736361e+01 1.177600000000000000e+05
1.640000000000000000e+02 1.229067750278603910e+01 1.176320000000000000e+05
1.660000000000000000e+02 1.244095904230386829e+01 1.175040000000000000e+05
1.680000000000000000e+02 1.259126868813282485e+01 1.173760000000000000e+05
1.700000000000000000e+02 1.274244519071005044e+01 1.172480000000000000e+05
1.720000000000000000e+02 1.289311608955479471e+01 1.171200000000000000e+05
1.740000000000000000e+02 1.304443901482662582e+01 1.169920000000000000e+05
1.760000000000000000e+02 1.319575818804001699e+01 1.168640000000000000e+05
1.780000000000000000e+02 1.334632083274234127e+01 1.167360000000000000e+05
1.800000000000000000e+02 1.349545963956320094e+01 1.166080000000000000e+05
1.820000000000000000e+02 1.364546393125027102e+01 1.164800000000000000e+05
1.840000000000000000e+02 1.379501854376686154e+01 1.163520000000000000e+05
1.860000000000000000e+02 1.394414797157510399e+01 1.162240000000000000e+05
1.880000000000000000e+02 1.409367624820596987e+01 1.160960000000000000e+05
1.900000000000000000e+02 1.424360304134154731e+01 1.159680000000000000e+05
1.920000000000000000e+02 1.439452114938699800e+01 1.158400000000000000e+05
1.940000000000000000e+02 1.454519685861368039e+01 1.157120000000000000e+05
1.960000000000000000e+02 1.469684293305513556e+01 1.155840000000000000e+05
1.980000000000000000e+02 1.484932937661188213e+01 1.154560000000000000e+05
2.000000000000000000e+02 1.500078999904744670e+01 1.153280000000000000e+05
2.020000000000000000e+02 1.515188381052962718e+01 1.152000000000000000e+05
2.040000000000000000e+02 1.530362353637155159e+01 1.150720000000000000e+05
2.060000000000000000e+02 1.545512472086346634e+01 1.149440000000000000e+05
2.080000000000000000e+02 1.560731072580108503e+01 1.148160000000000000e+05
2.100000000000000000e+02 1.575928515877326852e+01 1.146880000000000000e+05
2.120000000000000000e+02 1.591105879241378318e+01 1.145600000000000000e+05
2.140000000000000000e+02 1.606230747907429546e+01 1.144320000000000000e+05
2.160000000000000000e+02 1.621301331166749904e+01 1.143040000000000000e+05
2.180000000000000000e+02 1.636352390007077062e+01 1.141760000000000000e+05
2.200000000000000000e+02 1.651374688597412188e+01 1.140480000000000000e+05
2.220000000000000000e+02 1.666381583360654517e+01 1.139200000000000000e+05
2.240000000000000000e+02 1.681370620271556149e+01 1.137920000000000000e+05
2.260000000000000000e+02 1.696376256328807131e+01 1.136640000000000000e+05
2.280000000000000000e+02 1.711389860453380862e+01 1.135360000000000000e+05
2.300000000000000000e+02 1.726403010554016504e+01 1.134080000000000000e+05
2.320000000000000000e+02 1.741286222457650368e+01 1.132800000000000000e+05
2.340000000000000000e+02 1.756126206764804465e+01 1.131520000000000000e+05
2.360000000000000000e+02 1.771093458878261728e+01 1.130240000000000000e+05
2.380000000000000000e+02 1.786133947305615166e+01 1.128960000000000000e+05
2.400000000000000000e+02 1.801204153255596907e+01 1.127680000000000000e+05
2.420000000000000000e+02 1.816294113895575890e+01 1.126400000000000000e+05
2.440000000000000000e+02 1.831379241303437411e+01 1.125120000000000000e+05
2.460000000000000000e+02 1.846511245143605251e+01 1.123840000000000000e+05
2.480000000000000000e+02 1.861655913716619892e+01 1.122560000000000000e+05
2.500000000000000000e+02 1.876774728739061615e+01 1.121280000000000000e+05
2.520000000000000000e+02 1.891897912802150472e+01 1.120000000000000000e+05
2.540000000000000000e+02 1.906978582496716967e+01 1.118720000000000000e+05
2.560000000000000000e+02 1.922052284807309874e+01 1.117440000000000000e+05
2.580000000000000000e+02 1.937150163634139588e+01 1.116160000000000000e+05
2.600000000000000000e+02 1.952233472137385561e+01 1.114880000000000000e+05
2.620000000000000000e+02 1.967274965467089132e+01 1.113600000000000000e+05
2.640000000000000000e+02 1.982284406657216991e+01 1.112320000000000000e+05
2.660000000000000000e+02 1.997263607607001745e+01 1.111040000000000000e+05
2.680000000000000000e+02 2.012246819987551305e+01 1.109760000000000000e+05
2.700000000000000000e+02 2.027181900922046154e+01 1.108480000000000000e+05
2.720000000000000000e+02 2.042052010786530403e+01 1.107200000000000000e+05
2.740000000000000000e+02 2.056945793811074097e+01 1.105920000000000000e+05
2.760000000000000000e+02 2.071841213105835067e+01 1.104640000000000000e+05
2.780000000000000000e+02 2.086791052391228973e+01 1.103360000000000000e+05
2.800000000000000000e+02 2.101873420716782803e+01 1.102080000000000000e+05
2.820000000000000000e+02 2.116944619939630456e+01 1.100800000000000000e+05
2.840000000000000000e+02 2.132030509897584736e+01 1.099520000000000000e+05
2.860000000000000000e+02 2.147055123781878905e+01 1.098240000000000000e+05
2.880000000000000000e+02 2.162079534797792135e+01 1.096960000000000000e+05
2.900000000000000000e+02 2.177180563568061800e+01 1.095680000000000000e+05
2.920000000000000000e+02 2.192280237306745150e+01 1.094400000000000000e+05
2.940000000000000000e+02 2.207428816569094820e+01 1.093120000000000000e+05
2.960000000000000000e+02 2.222592134636284200e+01 1.091840000000000000e+05
2.980000000000000000e+02 2.237774344857616526e+01 1.090560000000000000e+05
3.000000000000000000e+02 2.252863409651138227e+01 1.089280000000000000e+05
3.020000000000000000e+02 2.267875188509612627e+01 1.088000000000000000e+05
3.040000000000000000e+02 2.282957003704683530e+01 1.086720000000000000e+05
3.060000000000000000e+02 2.298066634150936238e+01 1.085440000000000000e+05
3.080000000000000000e+02 2.313237424697970113e+01 1.084160000000000000e+05
3.100000000000000000e+02 2.328371745113045321e+01 1.082880000000000000e+05
3.120000000000000000e+02 2.343428385353150389e+01 1.081600000000000000e+05
3.140000000000000000e+02 2.358523934510742848e+01 1.080320000000000000e+05
3.160000000000000000e+02 2.373637112161508966e+01 1.079040000000000000e+05
3.180000000000000000e+02 2.388714049629804848e+01 1.077760000000000000e+05
3.200000000000000000e+02 2.403892325767810334e+01 1.076480000000000000e+05
3.220000000000000000e+02 2.419081016431526265e+01 1.075200000000000000e+05
3.240000000000000000e+02 2.434325296876455624e+01 1.073920000000000000e+05
3.260000000000000000e+02 2.449570048451914062e+01 1.072640000000000000e+05
3.280000000000000000e+02 2.464825765758034493e+01 1.071360000000000000e+05
3.300000000000000000e+02 2.480246773969745178e+01 1.070080000000000000e+05
3.320000000000000000e+02 2.495678360911228566e+01 1.068800000000000000e+05
3.340000000000000000e+02 2.511164780911829197e+01 1.067520000000000000e+05
3.360000000000000000e+02 2.526622184764532975e+01 1.066240000000000000e+05
3.380000000000000000e+02 2.541994543015359298e+01 1.064960000000000000e+05
3.400000000000000000e+02 2.557343987241797123e+01 1.063680000000000000e+05
3.420000000000000000e+02 2.572556696733204262e+01 1.062400000000000000e+05
3.440000000000000000e+02 2.587754221053160109e+01 1.061120000000000000e+05
3.460000000000000000e+02 2.603048259021197097e+01 1.059840000000000000e+05
3.480000000000000000e+02 2.618352228934783454e+01 1.058560000000000000e+05
3.500000000000000000e+02 2.633640914383383702e+01 1.057280000000000000e+05
3.520000000000000000e+02 2.648889540075041538e+01 1.056000000000000000e+05
3.540000000000000000e+02 2.664247292078327334e+01 1.054720000000000000e+05
3.560000000000000000e+02 2.679661387415604779e+01 1.053440000000000000e+05
3.580000000000000000e+02 2.695096651358932860e+01 1.052160000000000000e+05
3.600000000000000000e+02 2.710494087273394470e+01 1.050880000000000000e+05
3.620000000000000000e+02 2.725823114330170327e+01 1.049600000000000000e+05
3.640000000000000000e+02 2.741091126043398774e+01 1.048320000000000000e+05
3.660000000000000000e+02 2.756415436680577002e+01 1.047040000000000000e+05
3.680000000000000000e+02 2.771760785900241331e+01 1.045760000000000000e+05
3.700000000000000000e+02 2.787155667978706930e+01 1.044480000000000000e+05
3.720000000000000000e+02 2.802561357362527161e+01 1.043200000000000000e+05
3.740000000000000000e+02 2.818055874960365159e+01 1.041920000000000000e+05
3.760000000000000000e+02 2.833568240134408356e+01 1.040640000000000000e+05
3.780000000000000000e+02 2.849148338908692679e+01 1.039360000000000000e+05
3.800000000000000000e+02 2.864815431480798935e+01 1.038080000000000000e+05
3.820000000000000000e+02 2.880490817245436119e+01 1.036800000000000000e+05
3.840000000000000000e+02 2.896214097625465556e+01 1.035520000000000000e+05
3.860000000000000000e+02 2.911984524525002627e+01 1.034240000000000000e+05
3.880000000000000000e+02 2.927751806517147415e+01 1.032960000000000000e+05
3.900000000000000000e+02 2.943707190873618273e+01 1.031680000000000000e+05
3.920000000000000000e+02 2.959786010978170623e+01 1.030400000000000000e+05
3.940000000000000000e+02 2.975900074154603558e+01 1.029120000000000000e+05
3.960000000000000000e+02 2.992055968490471685e+01 1.027840000000000000e+05
3.980000000000000000e+02 3.008211716626906096e+01 1.026560000000000000e+05
4.000000000000000000e+02 3.024387821670989851e+01 1.025280000000000000e+05
4.020000000000000000e+02 3.040574316419403189e+01 1.024000000000000000e+05
4.040000000000000000e+02 3.056727112946954250e+01 1.022720000000000000e+05
4.060000000000000000e+02 3.072888544502365349e+01 1.021440000000000000e+05
4.080000000000000000e+02 3.088961827959146333e+01 1.020160000000000000e+05
4.100000000000000000e+02 3.105051901316209140e+01 1.018880000000000000e+05
4.120000000000000000e+02 3.121076034445109570e+01 1.017600000000000000e+05
4.140000000000000000e+02 3.137158983680406621e+01 1.016320000000000000e+05
4.160000000000000000e+02 3.153233556140112626e+01 1.015040000000000000e+05
4.180000000000000000e+02 3.169256074735298512e+01 1.013760000000000000e+05
4.200000000000000000e+02 3.185352764935236891e+01 1.012480000000000000e+05
4.220000000000000000e+02 3.201394633233278597e+01 1.011200000000000000e+05
4.240000000000000000e+02 3.217419262408530756e+01 1.009920000000000000e+05
4.260000000000000000e+02 3.233406544036867558e+01 1.008640000000000000e+05
4.280000000000000000e+02 3.249510381165566741e+01 1.007360000000000000e+05
4.300000000000000000e+02 3.265597157449503385e+01 1.006080000000000000e+05
4.320000000000000000e+02 3.281792281207200546e+01 1.004800000000000000e+05
4.340000000000000000e+02 3.297989445884196158e+01 1.003520000000000000e+05
4.360000000000000000e+02 3.314235648907984455e+01 1.002240000000000000e+05
4.380000000000000000e+02 3.330649138525184583e+01 1.000960000000000000e+05
4.400000000000000000e+02 3.347072186779598013e+01 9.996800000000000000e+04
4.420000000000000000e+02 3.363466529043625286e+01 9.984000000000000000e+04
4.440000000000000000e+02 3.379890924368224603e+01 9.971200000000000000e+04
4.460000000000000000e+02 3.396360543326071024e+01 9.958400000000000000e+04
4.480000000000000000e+02 3.412849223606753668e+01 9.945600000000000000e+04
4.500000000000000000e+02 3.429469027628260847e+01 9.932800000000000000e+04
4.520000000000000000e+02 3.446143311867319170e+01 9.920000000000000000e+04
4.540000000000000000e+02 3.462908734157687718e+01 9.907200000000000000e+04
4.560000000000000000e+02 3.479737766303168911e+01 9.894400000000000000e+04
4.580000000000000000e+02 3.496590950943279807e+01 9.881600000000000000e+04
4.600000000000000000e+02 3.513427847530667947e+01 9.868800000000000000e+04
4.620000000000000000e+02 3.530215034506680638e+01 9.856000000000000000e+04
4.640000000000000000e+02 3.546947349381404280e+01 9.843200000000000000e+04
4.660000000000000000e+02 3.563622604480304545e+01 9.830400000000000000e+04
4.680000000000000000e+02 3.580381764319019311e+01 9.817600000000000000e+04
4.700000000000000000e+02 3.597232191712162575e+01 9.804800000000000000e+04
4.720000000000000000e+02 3.614135254386568619e+01 9.792000000000000000e+04
4.740000000000000000e+02 3.631002536654079194e+01 9.779200000000000000e+04
4.760000000000000000e+02 3.647819137739835327e+01 9.766400000000000000e+04
4.780000000000000000e+02 3.664616918866087047e+01 9.753600000000000000e+04
4.800000000000000000e+02 3.681302069699792412e+01 9.740800000000000000e+04
4.820000000000000000e+02 3.698008196395151970e+01 9.728000000000000000e+04
4.840000000000000000e+02 3.714713465897372657e+01 9.715200000000000000e+04
4.860000000000000000e+02 3.731443221760419959e+01 9.702400000000000000e+04
4.880000000000000000e+02 3.748248526277027537e+01 9.689600000000000000e+04
4.900000000000000000e+02 3.765165509040600256e+01 9.676800000000000000e+04
4.920000000000000000e+02 3.781950147921077843e+01 9.664000000000000000e+04
4.940000000000000000e+02 3.798788204237151689e+01 9.651200000000000000e+04
4.960000000000000000e+02 3.815520267666280319e+01 9.638400000000000000e+04
4.980000000000000000e+02 3.832224481990264309e+01 9.625600000000000000e+04
5.000000000000000000e+02 3.849023560058574844e+01 9.612800000000000000e+04
5.020000000000000000e+02 3.865786238911817918e+01 9.600000000000000000e+04
5.040000000000000000e+02 3.882519233422314642e+01 9.587200000000000000e+04
5.060000000000000000e+02 3.899317322692437671e+01 9.574400000000000000e+04
5.080000000000000000e+02 3.916135637922890567e+01 9.561600000000000000e+04
5.100000000000000000e+02 3.933002993546831050e+01 9.548800000000000000e+04
5.120000000000000000e+02 3.949865270865950606e+01 9.536000000000000000e+04
5.140000000000000000e+02 3.966751899196219000e+01 9.523200000000000000e+04
5.160000000000000000e+02 3.983667290267774774e+01 9.510400000000000000e+04
5.180000000000000000e+02 4.000772772097015206e+01 9.497600000000000000e+04
5.200000000000000000e+02 4.017714675566013938e+01 9.484800000000000000e+04
5.220000000000000000e+02 4.034705322329220678e+01 9.472000000000000000e+04
5.240000000000000000e+02 4.051667635339063622e+01 9.459200000000000000e+04
5.260000000000000000e+02 4.068648111228363007e+01 9.446400000000000000e+04
5.280000000000000000e+02 4.085462404795198665e+01 9.433600000000000000e+04
5.300000000000000000e+02 4.102300975462097199e+01 9.420800000000000000e+04
5.320000000000000000e+02 4.119125705524797354e+01 9.408000000000000000e+04
5.340000000000000000e+02 4.135930774347406924e+01 9.395200000000000000e+04
5.360000000000000000e+02 4.152740578685246930e+01 9.382400000000000000e+04
5.380000000000000000e+02 4.169501033722447403e+01 9.369600000000000000e+04
5.400000000000000000e+02 4.186225114129928926e+01 9.356800000000000000e+04
5.420000000000000000e+02 4.202951594074139052e+01 9.344000000000000000e+04
5.440000000000000000e+02 4.219542288235902561e+01 9.331200000000000000e+04
5.460000000000000000e+02 4.236174619785082740e+01 9.318400000000000000e+04
5.480000000000000000e+02 4.252819220163541303e+01 9.305600000000000000e+04
5.500000000000000000e+02 4.269457025268636841e+01 9.292800000000000000e+04
5.520000000000000000e+02 4.285971315126567305e+01 9.280000000000000000e+04
