# time  <Rg>_chains  <Rg^2>_chains
0.000000000000000000e+00 1.120749396229192563e+00 1.328631035208776012e+00
2.000000000000000000e+00 1.123823517380273973e+00 1.344483608027912780e+00
4.000000000000000000e+00 1.124376873865243986e+00 1.339857444459521929e+00
6.000000000000000000e+00 1.134030475020775253e+00 1.368030461175397505e+00
8.000000000000000000e+00 1.140163200059103099e+00 1.374912228099425704e+00
1.000000000000000000e+01 1.126678767664878400e+00 1.358557665844735141e+00
1.200000000000000000e+01 1.117578872619901409e+00 1.318089167812487972e+00
1.400000000000000000e+01 1.128277159453688006e+00 1.361705912292842768e+00
1.600000000000000000e+01 1.132986859902384680e+00 1.364315769330186612e+00
1.800000000000000000e+01 1.152344300387939668e+00 1.410753226521928028e+00
2.000000000000000000e+01 1.160506296380559466e+00 1.453833062082551919e+00
2.200000000000000000e+01 1.157586004295141580e+00 1.435583219425550894e+00
2.400000000000000000e+01 1.128230148759418627e+00 1.369141548616870097e+00
2.600000000000000000e+01 1.124530419630144440e+00 1.356815495565435015e+00
2.800000000000000000e+01 1.141479019367099168e+00 1.406882222258046156e+00
3.000000000000000000e+01 1.154636213445300985e+00 1.427542209939751672e+00
3.200000000000000000e+01 1.115402769821293827e+00 1.338432459858015733e+00
3.400000000000000000e+01 1.115193319509394598e+00 1.327090569625804406e+00
3.600000000000000000e+01 1.114629925065690141e+00 1.324597573984926058e+00
3.800000000000000000e+01 1.090708297995356402e+00 1.267936080243616814e+00
4.000000000000000000e+01 1.063414684107674146e+00 1.209800762332998048e+00
4.200000000000000000e+01 1.058603953836603218e+00 1.200341648712059950e+00
4.400000000000000000e+01 1.078234411879902321e+00 1.236577790117999953e+00
4.600000000000000000e+01 1.074942310514237942e+00 1.233814614941818988e+00
4.800000000000000000e+01 1.062989140258753906e+00 1.197178504900310969e+00
5.000000000000000000e+01 1.050549880123208490e+00 1.172140394283392340e+00
5.200000000000000000e+01 1.061846063549011454e+00 1.201218795544637175e+00
5.400000000000000000e+01 1.058342715851139149e+00 1.182257085686666542e+00
5.600000000000000000e+01 1.074447739599925455e+00 1.222241228280790182e+00
5.800000000000000000e+01 1.067202484423359188e+00 1.206170064450965640e+00
6.000000000000000000e+01 1.073361823698582462e+00 1.232269169472465009e+00
6.200000000000000000e+01 1.077415471470930308e+00 1.240118454682351157e+00
6.400000000000000000e+01 1.090210934308247559e+00 1.270979837698750003e+00
6.600000000000000000e+01 1.071267544642981129e+00 1.221781305353811575e+00
6.800000000000000000e+01 1.081268101560574069e+00 1.243734373127471926e+00
7.000000000000000000e+01 1.073296934402594216e+00 1.228696495419622892e+00
7.200000000000000000e+01 1.098337816593256688e+00 1.273172823095663375e+00
7.400000000000000000e+01 1.079134015349927367e+00 1.233136109589466400e+00
7.600000000000000000e+01 1.101774528398174802e+00 1.293645389437349635e+00
7.800000000000000000e+01 1.116598499685615753e+00 1.314424227341977058e+00
8.000000000000000000e+01 1.108977195210237854e+00 1.302067584782518495e+00
8.200000000000000000e+01 1.105744503834191317e+00 1.307697431709478053e+00
8.400000000000000000e+01 1.105424248759974137e+00 1.297868228106096922e+00
8.600000000000000000e+01 1.116300238838307646e+00 1.334503581224252500e+00
8.800000000000000000e+01 1.106973636764426505e+00 1.319024465164847726e+00
9.000000000000000000e+01 1.104333606011958624e+00 1.303994329672953256e+00
9.200000000000000000e+01 1.122650355760154817e+00 1.335283288294370152e+00
9.400000000000000000e+01 1.127537187852609701e+00 1.353302483780719712e+00
9.600000000000000000e+01 1.119264405831217335e+00 1.346090884513751362e+00
9.800000000000000000e+01 1.122425796175064772e+00 1.341983666521658236e+00
1.000000000000000000e+02 1.116768238790072809e+00 1.322705955698905811e+00
1.020000000000000000e+02 1.109365922465411103e+00 1.309340821438237157e+00
1.040000000000000000e+02 1.102648667915499203e+00 1.286910631869352173e+00
1.060000000000000000e+02 1.084140582947864306e+00 1.243199635659369306e+00
1.080000000000000000e+02 1.087035500069891691e+00 1.242250379744332278e+00
1.100000000000000000e+02 1.075799328221504148e+00 1.225472428943930936e+00
1.120000000000000000e+02 1.074782567063386818e+00 1.231356022431343789e+00
1.140000000000000000e+02 1.071856328649058110e+00 1.221652121419008807e+00
1.160000000000000000e+02 1.101609804240404777e+00 1.302281053459340754e+00
1.180000000000000000e+02 1.117825299146681051e+00 1.329407308723391523e+00
1.200000000000000000e+02 1.140027352289102236e+00 1.378817690013439901e+00
1.220000000000000000e+02 1.095649721577695912e+00 1.274672296227958412e+00
1.240000000000000000e+02 1.118766141084143850e+00 1.320494930928074240e+00
1.260000000000000000e+02 1.136506497606350363e+00 1.357974907784834429e+00
1.280000000000000000e+02 1.134333725876491838e+00 1.363514472262551180e+00
1.300000000000000000e+02 1.161326417428604874e+00 1.445695950342068770e+00
1.320000000000000000e+02 1.137837087142081982e+00 1.392299256912778560e+00
1.340000000000000000e+02 1.145830352110071892e+00 1.410092631386236306e+00
1.360000000000000000e+02 1.118237342176710225e+00 1.357558846226954330e+00
1.380000000000000000e+02 1.136785905420341525e+00 1.394937533473351365e+00
1.400000000000000000e+02 1.123105544854499538e+00 1.352695533433868391e+00
1.420000000000000000e+02 1.145843255418365736e+00 1.405284573334318665e+00
1.440000000000000000e+02 1.140589220610149557e+00 1.387649100372733812e+00
1.460000000000000000e+02 1.152200284259398133e+00 1.415937654364332943e+00
1.480000000000000000e+02 1.123706623405285487e+00 1.348210853969110445e+00
1.500000000000000000e+02 1.118567139822075340e+00 1.334161059694574547e+00
1.520000000000000000e+02 1.100366910066311377e+00 1.291829074728420679e+00
1.540000000000000000e+02 1.096062034435491217e+00 1.277676427674956372e+00
1.560000000000000000e+02 1.109644212065028501e+00 1.320005843678945467e+00
1.580000000000000000e+02 1.122855500037404752e+00 1.350356289315861602e+00
1.600000000000000000e+02 1.123331487147819718e+00 1.354484154653917471e+00
1.620000000000000000e+02 1.143298175218604884e+00 1.404399452232919288e+00
1.640000000000000000e+02 1.121073621446381008e+00 1.339795768950045485e+00
1.660000000000000000e+02 1.080739636027444828e+00 1.245717714424317890e+00
1.680000000000000000e+02 1.104453221333053126e+00 1.290495179240963353e+00
1.700000000000000000e+02 1.108190177509408514e+00 1.305315374603125633e+00
1.720000000000000000e+02 1.089367637164871949e+00 1.263669941308336320e+00
1.740000000000000000e+02 1.071103852541258838e+00 1.225703481366196002e+00
1.760000000000000000e+02 1.082148328188561326e+00 1.240983029101299095e+00
1.780000000000000000e+02 1.115237629488130100e+00 1.320830388419382828e+00
1.800000000000000000e+02 1.131042955640032099e+00 1.365805712731528843e+00
1.820000000000000000e+02 1.120337923869662689e+00 1.332963000266447651e+00
1.840000000000000000e+02 1.094527084505266812e+00 1.263167661071227243e+00
1.860000000000000000e+02 1.102709181565076690e+00 1.288627471017958825e+00
1.880000000000000000e+02 1.082125268341695090e+00 1.253628467376826094e+00
1.900000000000000000e+02 1.108532914309202644e+00 1.302196467193477147e+00
1.920000000000000000e+02 1.094770565841784116e+00 1.284294146102578082e+00
1.940000000000000000e+02 1.099105837493169258e+00 1.297664423344917495e+00
1.960000000000000000e+02 1.090077738470931479e+00 1.267419487101454578e+00
1.980000000000000000e+02 1.104889135493350327e+00 1.291194636012695796e+00
2.000000000000000000e+02 1.092720326070050207e+00 1.271127587873333908e+00
2.020000000000000000e+02 1.078037736712582184e+00 1.249392673111596963e+00
2.040000000000000000e+02 1.085545991566130075e+00 1.268585960435146376e+00
