# time  <Ree(t).Ree(0)>  Cee_normalized  counts
0.000000000000000000e+00 7.040149149396914829e+00 1.000000000000000000e+00 1.281280000000000000e+05
2.000000000000000000e+00 6.098672541079197096e+00 8.662703604229226029e-01 1.280000000000000000e+05
4.000000000000000000e+00 5.436921993620642546e+00 7.722736945262571595e-01 1.278720000000000000e+05
6.000000000000000000e+00 4.903448966636342554e+00 6.964978813064478524e-01 1.277440000000000000e+05
8.000000000000000000e+00 4.451154186177705974e+00 6.322528247230398968e-01 1.276160000000000000e+05
1.000000000000000000e+01 4.054189460594238348e+00 5.758669844290920103e-01 1.274880000000000000e+05
1.200000000000000000e+01 3.696460148329546502e+00 5.250542381827519867e-01 1.273600000000000000e+05
1.400000000000000000e+01 3.370131311929514428e+00 4.787016923097733301e-01 1.272320000000000000e+05
1.600000000000000000e+01 3.077590545850584558e+00 4.371484865649788443e-01 1.271040000000000000e+05
1.800000000000000000e+01 2.810562376061637391e+00 3.992191523815089016e-01 1.269760000000000000e+05
2.000000000000000000e+01 2.564743293019184467e+00 3.643024087407139566e-01 1.268480000000000000e+05
2.200000000000000000e+01 2.343472838890571008e+00 3.328726123780093027e-01 1.267200000000000000e+05
2.400000000000000000e+01 2.142561448972152949e+00 3.043346672784187912e-01 1.265920000000000000e+05
2.600000000000000000e+01 1.958664662787690247e+00 2.782135180979051770e-01 1.264640000000000000e+05
2.800000000000000000e+01 1.793908212826069493e+00 2.548111090771055798e-01 1.263360000000000000e+05
3.000000000000000000e+01 1.638265426264231772e+00 2.327032270906606581e-01 1.262080000000000000e+05
3.200000000000000000e+01 1.498856105602592637e+00 2.129011862953202050e-01 1.260800000000000000e+05
3.400000000000000000e+01 1.369213741416690944e+00 1.944864678802980806e-01 1.259520000000000000e+05
3.600000000000000000e+01 1.251427665148229451e+00 1.777558455924802827e-01 1.258240000000000000e+05
3.800000000000000000e+01 1.139454940745211919e+00 1.618509660186420729e-01 1.256960000000000000e+05
4.000000000000000000e+01 1.039265493210779656e+00 1.476198119040996459e-01 1.255680000000000000e+05
4.200000000000000000e+01 9.466819953207609162e-01 1.344690254753845848e-01 1.254400000000000000e+05
4.400000000000000000e+01 8.620097226482955621e-01 1.224419688213762430e-01 1.253120000000000000e+05
4.600000000000000000e+01 7.864921510836362373e-01 1.117152682981169542e-01 1.251840000000000000e+05
4.800000000000000000e+01 7.173462167702457926e-01 1.018936107101788141e-01 1.250560000000000000e+05
