time                 x                    y                    z                    total               
0.000000             0.000000             0.000000             0.000000             0.000000            
1.000000             0.049985             0.050115             0.049787             0.149887            
2.000000             0.100056             0.100527             0.099234             0.299817            
3.000000             0.150085             0.151086             0.148531             0.449702            
4.000000             0.200534             0.202206             0.197785             0.600524            
5.000000             0.251318             0.253076             0.246986             0.751380            
6.000000             0.301628             0.303878             0.295973             0.901479            
7.000000             0.351960             0.354518             0.344599             1.051077            
8.000000             0.402020             0.405282             0.393169             1.200472            
9.000000             0.451963             0.456055             0.441798             1.349816            
10.000000            0.502301             0.506774             0.490383             1.499457            
11.000000            0.552893             0.557344             0.538872             1.649109            
12.000000            0.603554             0.608446             0.587398             1.799398            
13.000000            0.654284             0.659601             0.635874             1.949759            
14.000000            0.705134             0.710896             0.684489             2.100519            
15.000000            0.755450             0.761828             0.733273             2.250552            
16.000000            0.805703             0.812516             0.781807             2.400026            
17.000000            0.856008             0.862816             0.830718             2.549541            
18.000000            0.906119             0.913472             0.879559             2.699150            
19.000000            0.956747             0.964224             0.928630             2.849601            
20.000000            1.008083             1.015028             0.977842             3.000954            
21.000000            1.059456             1.065964             1.027252             3.152672            
22.000000            1.110756             1.116767             1.076370             3.303893            
23.000000            1.162128             1.167301             1.125623             3.455052            
24.000000            1.213113             1.217807             1.174859             3.605779            
25.000000            1.264269             1.268399             1.224058             3.756726            
26.000000            1.315606             1.319067             1.272906             3.907579            
27.000000            1.366840             1.369262             1.321937             4.058038            
28.000000            1.417727             1.419406             1.371121             4.208254            
29.000000            1.468886             1.469622             1.420488             4.358996            
30.000000            1.519733             1.519845             1.469751             4.509329            
31.000000            1.570625             1.570133             1.518827             4.659585            
32.000000            1.621708             1.620224             1.567627             4.809560            
33.000000            1.672285             1.670255             1.616216             4.958756            
34.000000            1.722941             1.720263             1.664622             5.107826            
35.000000            1.773830             1.770367             1.713279             5.257476            
36.000000            1.824481             1.819880             1.761895             5.406256            
37.000000            1.875279             1.869269             1.810557             5.555105            
38.000000            1.926036             1.918516             1.859315             5.703867            
39.000000            1.976657             1.967924             1.907750             5.852331            
40.000000            2.027141             2.017304             1.956450             6.000895            
41.000000            2.077731             2.066994             2.005345             6.150070            
42.000000            2.127973             2.116745             2.053764             6.298482            
43.000000            2.178450             2.166857             2.102259             6.447565            
44.000000            2.228956             2.217401             2.150660             6.597017            
45.000000            2.279259             2.267909             2.199275             6.746443            
46.000000            2.329376             2.319108             2.248356             6.896840            
47.000000            2.378968             2.370365             2.297426             7.046759            
48.000000            2.428549             2.421693             2.345926             7.196168            
49.000000            2.478251             2.472934             2.394184             7.345369            
50.000000            2.527738             2.524509             2.442717             7.494964            
51.000000            2.577717             2.576738             2.491265             7.645720            
52.000000            2.627623             2.628596             2.539251             7.795470            
53.000000            2.677790             2.679743             2.586769             7.944302            
54.000000            2.727685             2.731556             2.634021             8.093262            
55.000000            2.777658             2.783492             2.681299             8.242450            
56.000000            2.827146             2.835945             2.728462             8.391552            
57.000000            2.876891             2.888404             2.774899             8.540193            
58.000000            2.926513             2.941072             2.821809             8.689394            
59.000000            2.975941             2.993706             2.868612             8.838259            
60.000000            3.025484             3.046264             2.915256             8.987004            
61.000000            3.075247             3.098909             2.961737             9.135893            
62.000000            3.125133             3.151843             3.007854             9.284830            
63.000000            3.174928             3.204531             3.054241             9.433700            
64.000000            3.224916             3.257898             3.100819             9.583634            
65.000000            3.274782             3.311485             3.147503             9.733769            
66.000000            3.324695             3.364963             3.193987             9.883645            
67.000000            3.375002             3.418121             3.240036             10.033160           
68.000000            3.425661             3.471631             3.286408             10.183700           
69.000000            3.476515             3.525200             3.332468             10.334183           
70.000000            3.526666             3.579401             3.378152             10.484220           
71.000000            3.576687             3.633302             3.424089             10.634079           
72.000000            3.626814             3.687213             3.469446             10.783472           
73.000000            3.677003             3.741845             3.514333             10.933182           
74.000000            3.726757             3.797098             3.558802             11.082657           
75.000000            3.776366             3.852247             3.603419             11.232032           
76.000000            3.826398             3.907949             3.648121             11.382468           
77.000000            3.876522             3.964205             3.692765             11.533492           
78.000000            3.926559             4.020929             3.737391             11.684880           
79.000000            3.976965             4.078213             3.781989             11.837167           
80.000000            4.027336             4.135500             3.826126             11.988962           
81.000000            4.078105             4.192239             3.869894             12.140239           
82.000000            4.128756             4.248705             3.913216             12.290677           
83.000000            4.179591             4.305158             3.956211             12.440959           
84.000000            4.229949             4.361707             3.999612             12.591269           
85.000000            4.280712             4.418472             4.043260             12.742445           
86.000000            4.331538             4.474769             4.086810             12.893116           
87.000000            4.382267             4.531154             4.131017             13.044439           
88.000000            4.433087             4.587635             4.175037             13.195758           
89.000000            4.483465             4.643612             4.219244             13.346321           
90.000000            4.533622             4.698865             4.262973             13.495460           
91.000000            4.583845             4.755017             4.306602             13.645464           
92.000000            4.633829             4.810873             4.350317             13.795019           
93.000000            4.683819             4.866530             4.393800             13.944148           
94.000000            4.733656             4.922311             4.437709             14.093676           
95.000000            4.783003             4.978297             4.482303             14.243603           
96.000000            4.832769             5.034648             4.527104             14.394521           
97.000000            4.882568             5.090924             4.571704             14.545197           
98.000000            4.932506             5.147423             4.616914             14.696843           
99.000000            4.982573             5.205041             4.661715             14.849329           
100.000000           5.032696             5.262139             4.705956             15.000790           
101.000000           5.082937             5.318885             4.750062             15.151884           
102.000000           5.133246             5.375716             4.794662             15.303624           
103.000000           5.183475             5.432459             4.839191             15.455125           
104.000000           5.233739             5.489391             4.884180             15.607311           
105.000000           5.283876             5.545738             4.929671             15.759285           
106.000000           5.333892             5.602392             4.974775             15.911059           
107.000000           5.383849             5.658519             5.019939             16.062307           
108.000000           5.433808             5.714307             5.064898             16.213013           
109.000000           5.483519             5.770349             5.109655             16.363524           
110.000000           5.532835             5.825925             5.154987             16.513747           
111.000000           5.582244             5.881233             5.200339             16.663816           
112.000000           5.631617             5.936897             5.245193             16.813706           
113.000000           5.680894             5.992769             5.290099             16.963763           
114.000000           5.730085             6.048653             5.335160             17.113899           
115.000000           5.779771             6.104572             5.379687             17.264030           
116.000000           5.829681             6.159743             5.423438             17.412862           
117.000000           5.879345             6.215013             5.466904             17.561262           
118.000000           5.929629             6.270507             5.510799             17.710935           
119.000000           5.979785             6.327297             5.554257             17.861339           
120.000000           6.030194             6.383942             5.597905             18.012042           
121.000000           6.080245             6.440739             5.641957             18.162941           
122.000000           6.130323             6.497568             5.685901             18.313792           
123.000000           6.180441             6.554632             5.730039             18.465112           
124.000000           6.231022             6.611566             5.773971             18.616559           
125.000000           6.282000             6.668005             5.817743             18.767747           
126.000000           6.333282             6.723961             5.861736             18.918979           
127.000000           6.384856             6.779395             5.905534             19.069786           
128.000000           6.436426             6.834727             5.949370             19.220523           
129.000000           6.488454             6.889495             5.993553             19.371502           
130.000000           6.540672             6.944076             6.037587             19.522335           
131.000000           6.592896             6.998521             6.081333             19.672750           
132.000000           6.644891             7.052816             6.125138             19.822844           
133.000000           6.696845             7.107101             6.168690             19.972636           
134.000000           6.748888             7.161486             6.212094             20.122468           
135.000000           6.800563             7.215381             6.255875             20.271819           
136.000000           6.851721             7.269112             6.299687             20.420520           
137.000000           6.903532             7.322741             6.343185             20.569458           
138.000000           6.955142             7.376359             6.386911             20.718412           
139.000000           7.007531             7.429853             6.430527             20.867911           
140.000000           7.060341             7.483615             6.474779             21.018734           
141.000000           7.113087             7.537258             6.519101             21.169446           
142.000000           7.165598             7.591271             6.563436             21.320305           
143.000000           7.217790             7.645036             6.607725             21.470551           
144.000000           7.270233             7.698434             6.652129             21.620795           
145.000000           7.323051             7.751662             6.697093             21.771806           
