bin                 q                   two_theta           Fx                  Icoh               
0                   0.005000            0.070243            26.467273           5389.856120        
1                   0.015000            0.210729            25.892816           5277.133633        
2                   0.025000            0.351215            24.765050           5055.854991        
3                   0.035000            0.491702            23.125352           4734.170980        
4                   0.045000            0.632190            21.033539           4323.861691        
5                   0.055000            0.772678            18.565286           3839.824886        
6                   0.065000            0.913168            15.808871           3299.432003        
7                   0.075000            1.053659            12.861409           2721.782101        
8                   0.085000            1.194152            9.824738            2126.888645        
9                   0.095000            1.334646            6.801153            1534.837030        
10                  0.105000            1.475142            3.889184            964.951750         
11                  0.115000            1.615641            1.179610            435.011319         
12                  0.125000            1.756142            -1.248122           -39.453619         
13                  0.135000            1.896646            -3.328893           -445.747965        
14                  0.145000            2.037152            -5.014225           -774.460412        
15                  0.155000            2.177662            -6.273784           -1019.754084       
16                  0.165000            2.318175            -7.096052           -1179.489178       
17                  0.175000            2.458691            -7.488121           -1255.175441       
18                  0.185000            2.599212            -7.474671           -1251.760520       
19                  0.195000            2.739736            -7.096162           -1177.268004       
20                  0.205000            2.880264            -6.406378           -1042.305924       
21                  0.215000            3.020796            -5.469427           -859.472352        
22                  0.225000            3.161333            -4.356371           -642.689114        
23                  0.235000            3.301875            -3.141642           -406.497455        
24                  0.245000            3.442422            -1.899433           -165.350517        
25                  0.255000            3.582974            -0.700228           67.063157          
26                  0.265000            3.723531            0.392363            278.433296         
27                  0.275000            3.864094            1.324315            458.350876         
28                  0.285000            4.004663            2.053338            598.717740         
29                  0.295000            4.145237            2.550368            694.026455         
30                  0.305000            4.285818            2.800352            741.500945         
31                  0.315000            4.426406            2.802310            741.095647         
32                  0.325000            4.567000            2.568693            695.358148         
33                  0.335000            4.707601            2.124095            609.166944         
34                  0.345000            4.848209            1.503403            489.361999         
35                  0.355000            4.988824            0.749498            344.290632         
36                  0.365000            5.129447            -0.089364           183.294934         
37                  0.375000            5.270078            -0.962345           16.169049          
38                  0.385000            5.410716            -1.818838           -147.384647        
39                  0.395000            5.551363            -2.611164           -298.272313        
40                  0.405000            5.692018            -3.297017           -428.472521        
41                  0.415000            5.832682            -3.841526           -531.424934        
42                  0.425000            5.973354            -4.218859           -602.326165        
43                  0.435000            6.114036            -4.413278           -638.320579        
44                  0.445000            6.254727            -4.419634           -638.579735        
45                  0.455000            6.395427            -4.243266           -604.270219        
46                  0.465000            6.536137            -3.899351           -538.415511        
47                  0.475000            6.676856            -3.411748           -445.662987        
48                  0.485000            6.817586            -2.811411           -331.971784        
49                  0.495000            6.958326            -2.134474           -204.241004        
50                  0.505000            7.099077            -1.420122           -69.900264         
51                  0.515000            7.239838            -0.708359           63.514104          
52                  0.525000            7.380610            -0.037809           188.773869         
53                  0.535000            7.521394            0.556344            299.342639         
54                  0.545000            7.662188            1.044162            389.708815         
55                  0.555000            7.802995            1.402424            455.651424         
56                  0.565000            7.943813            1.615680            494.426654         
57                  0.575000            8.084643            1.676860            504.867575         
58                  0.585000            8.225485            1.587403            487.394510         
59                  0.595000            8.366340            1.356921            443.938439         
60                  0.605000            8.507208            1.002430            377.784456         
61                  0.615000            8.648088            0.547195            293.346489         
62                  0.625000            8.788982            0.019278            195.887811         
63                  0.635000            8.929888            -0.550139           91.204447          
64                  0.645000            9.070809            -1.128554           -14.709989         
65                  0.655000            9.211743            -1.683956           -115.999020        
66                  0.665000            9.352691            -2.186556           -207.259247        
67                  0.675000            9.493653            -2.610355           -283.820751        
68                  0.685000            9.634630            -2.934445           -341.977686        
69                  0.695000            9.775621            -3.143996           -379.158014        
70                  0.705000            9.916627            -3.230883           -394.025002        
71                  0.715000            10.057648           -3.193921           -386.507147        
72                  0.725000            10.198685           -3.038712           -357.757220        
73                  0.735000            10.339736           -2.777125           -310.045047        
74                  0.745000            10.480804           -2.426440           -246.592170        
75                  0.755000            10.621888           -2.008224           -171.359488        
76                  0.765000            10.762987           -1.547003           -88.801259         
77                  0.775000            10.904103           -1.068807           -3.600266          
78                  0.785000            11.045236           -0.599682           79.600438          
79                  0.795000            11.186385           -0.164240           156.454118         
80                  0.805000            11.327552           0.215661            223.141303         
81                  0.815000            11.468736           0.522041            276.563009         
82                  0.825000            11.609937           0.741678            314.486627         
83                  0.835000            11.751156           0.866683            335.637871         
84                  0.845000            11.892393           0.894763            339.735382         
85                  0.855000            12.033647           0.829159            327.467937         
86                  0.865000            12.174921           0.678271            300.417465         
87                  0.875000            12.316213           0.455004            260.934001         
88                  0.885000            12.457523           0.175873            211.971277         
89                  0.895000            12.598853           -0.140065           156.893565         
90                  0.905000            12.740202           -0.472402           99.265737          
91                  0.915000            12.881570           -0.800598           42.639052          
92                  0.925000            13.022958           -1.105186           -9.654942          
93                  0.935000            13.164366           -1.368874           -54.690823         
94                  0.945000            13.305795           -1.577490           -90.105976         
95                  0.955000            13.447243           -1.720720           -114.219444        
96                  0.965000            13.588712           -1.792604           -126.107273        
97                  0.975000            13.730202           -1.791759           -125.631353        
98                  0.985000            13.871713           -1.721341           -113.421465        
99                  0.995000            14.013245           -1.588730           -90.812989         
100                 1.005000            14.154799           -1.404980           -59.745159         
101                 1.015000            14.296374           -1.184071           -22.626904         
102                 1.025000            14.437972           -0.942005           17.821013          
103                 1.035000            14.579591           -0.695795           58.737753          
104                 1.045000            14.721233           -0.462433           97.297680          
105                 1.055000            14.862898           -0.257864           130.878903         
106                 1.065000            15.004585           -0.096056           157.215447         
107                 1.075000            15.146295           0.011803            174.524642         
108                 1.085000            15.288029           0.057928            181.602972         
109                 1.095000            15.429786           0.038349            177.885586         
110                 1.105000            15.571567           -0.046914           163.466936         
111                 1.115000            15.713372           -0.193900           139.082271         
112                 1.125000            15.855202           -0.395001           106.052016         
113                 1.135000            15.997055           -0.639452           66.193124          
114                 1.145000            16.138934           -0.914006           21.703323          
115                 1.155000            16.280837           -1.203741           -24.974426         
116                 1.165000            16.422766           -1.492947           -71.298953         
117                 1.175000            16.564719           -1.766055           -114.780627        
118                 1.185000            16.706699           -2.008542           -153.125111        
119                 1.195000            16.848704           -2.207752           -184.362940        
